Results Table 1
,Force at Preset point (PIP 1),Displacement at Preset point (PIP 1),Time at Preset point (PIP 1)
,(kN),(mm),(s)
1,"0.15","0.31","5.82"

Raw Data
Time,Force,Displacement,PIP count
(s),(N),(mm),
"9.1200","153.4699","0.3112","1.0000"
"9.1400","153.4757","0.3112","1.0000"
"9.1600","153.5028","0.3112","1.0000"
"9.1800","153.5189","0.3112","1.0000"
"9.2000","153.5455","0.3112","1.0000"
"9.2200","153.6590","0.3112","1.0000"
"9.2400","153.6030","0.3112","1.0000"
"9.2600","153.5234","0.3112","1.0000"
"9.2800","153.4884","0.3112","1.0000"
"9.3000","153.5206","0.3112","1.0000"
"9.3200","153.5094","0.3112","1.0000"
"9.3400","153.5397","0.3112","1.0000"
"9.3600","153.5075","0.3112","1.0000"
"9.3800","153.4911","0.3112","1.0000"
"9.4000","153.5036","0.3112","1.0000"
"9.4200","153.6027","0.3112","1.0000"
"9.4400","153.5807","0.3112","1.0000"
"9.4600","153.5497","0.3112","1.0000"
"9.4800","153.5765","0.3112","1.0000"
"9.5000","153.5264","0.3112","1.0000"
"9.5200","153.6119","0.3112","1.0000"
"9.5400","153.6071","0.3112","1.0000"
"9.5600","153.6012","0.3112","1.0000"
"9.5800","153.5583","0.3112","1.0000"
"9.6000","153.5340","0.3112","1.0000"
"9.6200","153.5085","0.3112","1.0000"
"9.6400","153.5337","0.3112","1.0000"
"9.6600","153.5841","0.3112","1.0000"
"9.6800","153.5701","0.3112","1.0000"
"9.7000","153.5039","0.3112","1.0000"
"9.7200","153.5633","0.3112","1.0000"
"9.7400","153.5580","0.3112","1.0000"
"9.7600","153.5568","0.3112","1.0000"
"9.7800","153.7099","0.3112","1.0000"
"9.8000","153.6865","0.3112","1.0000"
"9.8200","153.6360","0.3112","1.0000"
"9.8400","153.6743","0.3112","1.0000"
"9.8600","153.6548","0.3112","1.0000"
"9.8800","153.5477","0.3112","1.0000"
"9.9000","153.5818","0.3112","1.0000"
"9.9200","153.6360","0.3112","1.0000"
"9.9400","153.5811","0.3112","1.0000"
"9.9600","153.5913","0.3112","1.0000"
"9.9800","153.6388","0.3112","1.0000"
"10.0000","153.5884","0.3112","1.0000"
"10.0200","153.6142","0.3112","1.0000"
"10.0400","153.7241","0.3112","1.0000"
"10.0600","153.6695","0.3112","1.0000"
"10.0800","153.6019","0.3112","1.0000"
"10.1000","153.6799","0.3112","1.0000"
"10.1200","153.6721","0.3112","1.0000"
"10.1400","153.6643","0.3112","1.0000"
"10.1600","153.7306","0.3112","1.0000"
"10.1800","153.8128","0.3112","1.0000"
"10.2000","153.7505","0.3112","1.0000"
"10.2200","153.7567","0.3112","1.0000"
"10.2400","153.8116","0.3112","1.0000"
"10.2600","153.8246","0.3112","1.0000"
